y1	y2
2.61	2.47
2.82	2.95
2.57	3.49
3.36	3.56
2.95	2.80
2.01	3.27
2.86	2.90
2.38	3.11
2.22	2.21
3.23	2.83
2.68	2.67
2.57	3.27
2.84	3.87
2.50	2.44
3.14	3.09
2.74	2.33
2.67	3.16
3.39	3.17
2.93	3.73
2.32	2.61
3.47	2.71
2.83	3.13
3.07	2.58
2.44	2.75
2.32	2.66
1.71	3.51
3.54	3.32
3.24	2.59
3.54	2.56
2.82	3.29
3.11	2.63
2.50	3.11
2.89	3.73
3.48	3.02
2.72	3.11
3.24	2.99
3.35	2.59
2.36	2.94
2.48	3.23
2.34	2.33
3.01	2.47
2.64	4.46
2.65	4.97
2.24	4.06
2.44	4.19
3.49	4.70
2.48	4.45
2.96	4.40
2.47	3.59
2.63	4.44
2.25	4.76
2.40	4.91
2.39	3.94
3.75	4.72
2.62	4.39
2.50	3.95
2.55	4.06
2.71	3.81
2.56	3.95
3.59	3.82
3.19	4.65
2.68	4.94
2.37	3.66
2.24	2.95
4.35	4.14
3.01	5.24
3.45	4.37
3.39	4.30
2.05	4.34
1.71	4.84
4.17	4.12
3.83	3.68
2.43	4.22
2.65	3.79
2.03	3.91
2.71	4.13
3.03	3.46
3.74	4.23
3.10	3.46
2.62	4.34
2.25	4.53
2.36	3.64
3.03	3.68
2.35	4.26
2.27	3.82
3.49	3.99
2.02	3.19
2.55	5.24
2.51	4.37
2.90	4.37
2.54	3.91
2.97	4.86
2.92	4.19
3.14	4.68
3.12	3.63
3.14	3.17
3.20	4.51
2.47	4.05
2.60	4.91
2.16	4.87
2.16	3.40
2.56	4.46
3.09	3.71
2.64	4.03
2.41	4.55
2.83	4.36
3.38	4.25
2.83	3.78
3.33	4.56
2.38	4.27
2.86	3.77
2.62	3.75
3.02	3.81
3.07	4.34
3.53	3.32
3.31	4.16
4.52	3.83
3.12	3.94
2.82	4.31
3.76	4.32
1.44	3.45
2.34	3.91
2.84	4.31
2.81	3.69
2.57	4.02
3.16	3.75
2.56	4.01
2.46	4.16
2.24	3.72
2.95	4.59
2.88	4.68
2.06	4.60
2.74	4.16
2.02	3.30
2.28	4.75
3.09	3.98
2.30	4.11
3.16	4.34
2.37	4.23
2.04	4.85
3.06	3.42
2.35	3.87
1.81	4.36
4.22	2.75
2.83	5.02
2.54	4.89
2.57	4.52
2.32	4.26
3.07	4.40
2.78	3.59
3.89	4.29
3.10	4.35
2.67	4.20
3.10	4.64
2.76	3.68
2.15	3.88
3.07	4.10
2.79	4.41
2.75	4.85
2.14	4.29
2.88	4.86
2.28	4.17
1.83	4.50
2.08	4.23
2.51	4.47
3.80	3.89
3.00	3.66
3.08	4.54
3.89	3.98
2.81	3.66
4.04	4.17
2.56	4.46
2.36	3.56
2.77	4.22
3.41	3.93
3.20	4.23
2.77	4.51
3.47	4.11
2.81	4.47
3.59	4.75
3.70	4.13
2.61	4.03
2.19	4.14
2.58	3.96
2.64	4.59
2.40	5.08
2.30	5.25
3.60	5.44
2.47	4.41
3.04	3.89
3.09	3.71
3.22	3.68
2.55	4.22
2.40	4.39
2.97	4.29
2.81	3.24
2.20	4.84
2.85	4.62
2.78	4.41
2.51	5.69
3.24	3.79
3.38	5.18
2.89	4.33
3.40	4.47
3.51	4.01
1.69	4.15
2.56	3.93
3.05	3.60
2.33	3.71
2.96	4.22
2.74	3.86
2.36	3.92
3.34	4.51
2.88	4.16
2.52	5.34
3.01	3.78
2.07	4.33
3.00	4.26
3.18	4.32
2.37	4.71
1.78	4.12
2.17	3.59
2.01	5.15
3.05	3.75
2.72	4.76
2.17	3.37
3.91	4.09
2.20	4.48
2.88	3.76
2.99	4.70
3.14	5.06
2.61	2.90
3.42	4.66
2.65	4.20
2.45	3.83
2.59	4.17
2.31	4.05
2.36	4.04
3.04	4.09
3.74	3.82
2.40	4.58
2.81	4.27
2.28	4.26
2.35	4.04
2.50	4.26
2.90	4.17
2.14	3.80
3.21	4.50
3.73	3.84
2.89	3.63
2.79	4.68
2.71	5.30
2.20	4.30
2.80	3.45
2.90	4.75
3.02	3.83
2.89	4.53
2.15	4.16
4.43	4.88
1.59	4.66
2.42	3.41
2.32	6.26
2.57	4.67
2.96	4.06
2.57	3.81
2.68	5.24
2.13	4.00
3.11	4.86
2.86	3.90
2.25	3.23
3.70	4.07
2.87	3.94
1.94	4.28
2.26	4.00
3.14	4.32
2.51	4.66
3.64	4.31
2.46	4.01
2.40	4.42
1.78	3.97
2.93	3.76
3.23	4.54
2.15	4.47
3.13	4.50
2.49	4.12
2.52	4.45
3.02	3.53
2.19	3.49
3.25	3.77
3.68	3.82
3.89	3.47
2.22	3.66
2.69	3.73
2.67	4.35
2.58	4.02
2.31	3.91
2.61	4.35
2.08	4.01
4.10	3.18
3.30	4.29
4.07	4.81
2.68	3.14
2.75	4.06
2.83	4.53
2.58	3.78
3.13	4.58
3.11	4.24
2.95	3.82
2.43	4.77
1.94	4.73
2.36	4.00
3.19	4.81
2.75	4.12
2.72	4.45
3.12	4.34
2.31	4.87
2.77	4.45
2.07	3.91
1.98	4.89
2.98	4.24
2.75	4.39
2.71	3.95
2.96	4.44
2.89	4.78
2.26	3.57
3.82	4.07
2.50	4.89
3.43	4.64
3.19	3.25
2.94	3.23
3.48	4.28
2.17	5.19
2.48	3.68
2.51	4.13
2.20	4.25
3.15	4.17
2.82	4.46
2.86	3.60
1.82	4.33
1.77	4.66
2.60	3.63
2.53	4.29
2.68	4.40
3.22	3.76
2.51	3.65
2.53	3.62
4.86	3.46
2.72	4.06
2.18	4.77
3.12	4.47
3.25	4.43
1.91	3.93
2.93	4.29
2.37	4.45
2.95	4.41
2.22	4.91
1.86	4.04
2.95	3.62
2.31	4.30
2.54	4.03
2.64	4.08
2.88	3.77
2.82	4.24
3.13	3.89
2.79	4.50
2.56	4.23
2.70	4.69
2.62	3.85
2.64	3.43
2.18	4.89
2.37	4.80
1.93	3.41
2.35	4.27
2.39	4.12
2.05	4.54
2.82	4.19
2.23	4.65
2.69	3.86
2.86	3.91
2.02	3.42
2.09	3.51
2.69	5.16
1.97	4.08
2.65	4.33
2.85	3.72
3.51	4.13
3.37	4.20
3.19	4.67
3.28	4.04
3.64	4.98
2.66	4.21
3.34	4.06
1.65	3.99
2.79	5.28
2.62	4.04
2.91	3.41
3.82	3.56
2.66	3.95
2.98	4.70
3.36	4.94
2.05	4.50
2.94	3.54
3.47	4.27
2.61	4.25
2.71	4.40
2.55	4.94
2.38	4.21
2.75	3.22
2.51	4.02
2.65	4.25
2.85	4.47
2.57	4.25
3.09	3.56
3.43	4.05
2.84	5.01
2.60	4.15
3.38	4.37
2.96	4.10
2.44	4.23
2.99	4.39
2.87	4.64
2.75	4.20
2.99	3.90
2.73	4.21
2.17	4.46
2.36	3.45
2.15	3.86
2.57	5.58
3.34	3.53
2.78	4.43
2.33	4.68
2.99	4.42
3.80	4.59
2.55	4.74
1.79	4.33
3.07	3.96
3.56	4.79
2.65	5.18
3.11	4.40
2.58	3.59
2.18	4.48
2.79	3.28
2.11	4.37
2.78	3.62
2.85	3.75
3.24	3.70
2.54	3.48
2.34	4.96
3.45	4.41
2.51	3.83
2.31	4.04
2.66	4.32
2.53	4.13
1.74	3.96
3.23	3.64
3.16	3.89
2.37	4.55
3.34	4.64
2.69	3.19
2.02	4.04
2.74	3.71
2.62	4.49
3.05	3.89
2.35	3.92
2.25	2.98
2.22	3.95
2.16	4.22
3.04	4.64
2.71	4.73
2.97	4.19
3.32	3.27
2.85	3.82
2.07	4.97
2.33	4.08
2.36	4.31
2.36	4.46
2.23	4.51
2.15	4.70
2.55	5.83
3.05	4.76
3.96	4.27
2.62	4.90
3.02	4.55
2.34	4.91
3.09	4.35
2.83	4.52
4.08	4.57
2.93	4.24
3.15	4.37
3.75	4.46
3.53	4.28
3.65	4.28
2.82	3.79
3.58	4.73
2.10	4.76
2.31	4.08
2.12	3.91
3.13	3.89
2.07	3.88
2.84	3.80
2.14	3.81
2.15	4.20
2.16	4.18
2.26	4.19
3.30	3.08
3.35	3.96
3.03	4.24
2.93	4.12
2.76	4.04
2.03	4.79
1.97	4.60
2.66	5.47
2.59	3.45
2.35	4.25
2.85	3.98
3.55	3.92
2.39	4.53
2.67	4.24
2.95	3.78
3.19	3.77
2.61	4.39
2.71	5.15
3.34	4.10
3.87	4.09
2.92	4.05
1.97	4.69
2.13	4.25
4.13	3.90
3.51	3.56
4.27	3.96
3.09	4.26
2.40	4.93
2.54	4.34
2.31	3.85
2.91	4.27
2.70	4.51
2.30	4.93
2.88	4.11
3.14	3.68
4.10	3.72
2.15	3.70
